record_name,measured_gwl,caution_flag,latitude,longitude,nztm_y,nztm_x,model_gwl,measured_minus_model,type,type_as_number
CPT_1,1.0,a_value_of_zero_was_extracted_at_least_once_but_ignored + at_least_one_adopted_value_was_preceded_by_the_word_assumed + ,-43.521205605,172.708811478,5181262.382526222,1576467.294719789,4.740685939788818,-3.7406859397888175,cpt,1
CPT_2,2.0,a_value_of_zero_was_extracted_at_least_once_but_ignored + at_least_one_adopted_value_was_preceded_by_the_word_assumed + ,-43.512666081,172.705790668,5182209.910014013,1576219.811398513,3.0343728065490723,-1.0343728065490725,cpt,1
CPT_3,1.3,a_value_of_zero_was_extracted_at_least_once_but_ignored + at_least_one_adopted_value_was_preceded_by_the_word_assumed + ,-43.512320932,172.70938025,5182249.261218614,1576509.814406978,3.3374271392822266,-2.0374271392822267,cpt,1
CPT_4,2.0,a_value_of_zero_was_extracted_at_least_once_but_ignored + at_least_one_adopted_value_was_preceded_by_the_word_assumed + ,-43.511632793,172.712159892,5182326.465683587,1576734.2228061976,2.7326292991638184,-0.7326292991638184,cpt,1
CPT_5,2.0,a_value_of_zero_was_extracted_at_least_once_but_ignored + at_least_one_adopted_value_was_preceded_by_the_word_assumed + ,-43.51026226,172.714002306,5182479.18824192,1576882.619929484,2.625690221786499,-0.625690221786499,cpt,1
CPT_6,1.6,at_least_one_adopted_value_was_preceded_by_the_word_assumed + ,-43.520207101,172.699573181,5181370.620538116,1575720.291310263,2.7116198539733887,-1.1116198539733886,cpt,1
CPT_7,0.9,at_least_one_adopted_value_was_preceded_by_the_word_assumed + ,-43.522037352,172.701392424,5181167.884806545,1575868.0473368175,3.380338668823242,-2.4803386688232423,cpt,1
CPT_8,1.1,at_least_one_adopted_value_was_preceded_by_the_word_assumed + ,-43.524621271,172.705730622,5180882.167564799,1576219.6536799287,3.779714584350586,-2.679714584350586,cpt,1
CPT_9,1.4,a_value_of_zero_was_extracted_at_least_once_but_ignored + at_least_one_adopted_value_was_preceded_by_the_word_assumed + ,-43.518918709,172.702020054,5181514.418538878,1575917.528841069,3.249298095703125,-1.849298095703125,cpt,1
CPT_10,1.2,at_least_one_adopted_value_was_preceded_by_the_word_assumed + ,-43.520107022,172.703291057,5181382.813359612,1576020.7208208847,4.13532304763794,-2.93532304763794,cpt,1
CPT_11,1.6,at_least_one_adopted_value_was_preceded_by_the_word_assumed + ,-43.522456951,172.70323299,5181121.816945071,1576016.9588509386,4.079595565795898,-2.4795955657958983,cpt,1
CPT_12,0.9,at_least_one_adopted_value_was_preceded_by_the_word_assumed + ,-43.523690771,172.705832211,5180985.536616936,1576227.4978576931,3.779714584350586,-2.879714584350586,cpt,1
CPT_13,0.9,at_least_one_adopted_value_was_preceded_by_the_word_assumed + ,-43.518852314,172.703740939,5181522.288907463,1576056.5830306662,3.9052910804748535,-3.0052910804748536,cpt,1
CPT_14,1.8,at_least_one_adopted_value_was_preceded_by_the_word_assumed + ,-43.519989117,172.705114634,5181396.431648994,1576168.0514428022,4.13532304763794,-2.3353230476379405,cpt,1
CPT_15,1.7,at_least_one_adopted_value_was_preceded_by_the_word_assumed + ,-43.521845632,172.707315985,5181190.877996487,1576346.684874046,4.671887874603272,-2.971887874603272,cpt,1
CPT_16,2.2,at_least_one_adopted_value_was_preceded_by_the_word_assumed + ,-43.521936433,172.709870728,5181181.516884914,1576553.1821813788,5.351641654968262,-3.151641654968261,cpt,1
CPT_17,2.2,at_least_one_adopted_value_was_preceded_by_the_word_assumed + ,-43.517594951,172.704034112,5181662.014049811,1576079.7803472786,3.9052910804748535,-1.7052910804748531,cpt,1
CPT_18,1.9,at_least_one_adopted_value_was_preceded_by_the_word_assumed + ,-43.517826787,172.706628191,5181637.009162621,1576289.5269386407,4.4185872077941895,-2.518587207794189,cpt,1
CPT_19,0.6,a_value_of_zero_was_extracted_at_least_once_but_ignored + at_least_one_adopted_value_was_preceded_by_the_word_assumed + ,-43.518803175,172.708574843,5181529.125866017,1576447.236298412,4.4185872077941895,-3.818587207794189,cpt,1
CPT_20,1.7,at_least_one_adopted_value_was_preceded_by_the_word_assumed + ,-43.520623909,172.710424783,5181327.4398636,1576597.450874027,5.205309867858887,-3.5053098678588865,cpt,1
CPT_21,1.0,a_value_of_zero_was_extracted_at_least_once_but_ignored + at_least_one_adopted_value_was_preceded_by_the_word_assumed + ,-43.513394472,172.704827455,5182128.740388492,1576142.2442546098,3.0343728065490723,-2.0343728065490723,cpt,1
CPT_22,0.9,a_value_of_zero_was_extracted_at_least_once_but_ignored + at_least_one_adopted_value_was_preceded_by_the_word_assumed + ,-43.517072564,172.709445904,5181721.57107254,1576516.9636882977,4.67689323425293,-3.7768932342529298,cpt,1
CPT_23,1.5,a_value_of_zero_was_extracted_at_least_once_but_ignored + at_least_one_adopted_value_was_preceded_by_the_word_assumed + ,-43.513991718,172.710052736,5182063.896047914,1576564.8165978384,3.3374271392822266,-1.8374271392822263,cpt,1
CPT_24,1.5,a_value_of_zero_was_extracted_at_least_once_but_ignored + at_least_one_adopted_value_was_preceded_by_the_word_assumed + ,-43.51531107,172.710458426,5181917.4850926,1576598.1166203592,4.009037017822266,-2.5090370178222656,cpt,1
CPT_25,2.0,at_least_one_adopted_value_was_preceded_by_the_word_assumed + several_possible_values_were_extracted_but_only_the_one_closest_to_the_model_value_was_kept + ,-43.512256742,172.710624305,5182256.740473449,1576610.344022862,2.7326292991638184,-0.7326292991638184,cpt,1
CPT_26,0.6,a_value_of_zero_was_extracted_at_least_once_but_ignored + at_least_one_adopted_value_was_preceded_by_the_word_assumed + ,-43.51104187,172.707118534,5182390.670813379,1576326.504611337,2.7592415809631348,-2.1592415809631347,cpt,1
CPT_27,3.4,at_least_one_adopted_value_was_preceded_by_the_word_assumed + several_possible_values_were_extracted_but_only_the_one_closest_to_the_model_value_was_kept + ,-43.511149181,172.704661606,5182378.051165667,1576127.9542748623,2.559691429138184,0.8403085708618159,cpt,1
CPT_28,2.0,at_least_one_adopted_value_was_preceded_by_the_word_assumed + several_possible_values_were_extracted_but_only_the_one_closest_to_the_model_value_was_kept + ,-43.508304714,172.707421179,5182694.740782203,1576349.898580406,2.263120651245117,-0.2631206512451172,cpt,1
